歌番号,歌人,歌,現代語訳,出典,決まり字,おだやかポジティブ現代語訳,情熱ポジティブ現代語訳
1,天智天皇,秋の田の かりほの庵の 苫をあらみ わが衣手は 露にぬれつつ,秋の田の仮の庵の苫が粗いので、私の袖は露に濡れたままでいるよ。,後撰集 秋中 302,あきの,秋の田んぼの仮小屋の屋根の隙間から、清々しい夜露が私の袖を濡らしていく。なんと趣深いことだろう。,実り豊かな秋の田んぼでキャンプ！自然と一体になって過ごすワイルドな夜を楽しんでいる。
2,持統天皇,春過ぎて 夏来にけらし 白妙の 衣ほすてふ 天の香具山,春が過ぎ夏がやって来たらしい。夏になると白い衣を干すという天の香具山に真っ白な衣が干してあるよ。,新古今集 夏 175,はるす,春が過ぎ、夏が来たようだ。夏になると干されるという真っ白な衣が、天の香具山で美しく風にそよいているよ。,待ちに待った夏が来た！緑の山に真っ白な衣が映えるコントラストは最高に爽やかだ。
3,柿本人麻呂,あしびきの 山鳥の尾の しだり尾の ながながし夜を ひとりかも寝む,山鳥の尾の、あの垂れさがった尾のような長い長い夜をひとりで寝るのであろうかなあ。,拾遺集 恋三 778,あし,山鳥の長く垂れた尾のように、こんなにも長い夜を、静かに自分と向き合いながら過ごすのも良いものだ。,誰にも邪魔されないとてつもなく長い夜の自由時間。この贅沢な時間を心ゆくまで楽しもう。
4,山部赤人,田子の浦に うち出でて見れば 白妙の 富士の高嶺に 雪は降りつつ,田子の浦に出てながめて見ると、真っ白な富士の高嶺に雪が降り続いているよ。,新古今集 冬 675,たご,田子の浦の海岸に出てみると、雄大な富士山の高嶺に、真っ白な雪が清らかに降り積もっているのが見えるよ。,海辺に出たら雪化粧した富士山が見えた。あまりの絶景と雄大さに心が洗われるようだ！
5,猿丸大夫,奥山に 紅葉踏み分け 鳴く鹿の 声聞く時ぞ 秋は悲しき,奥山に紅葉を踏み分けやって来て、鹿の声を聞く時こそ秋は悲しいものだ。,古今集 秋上 215,おく,奥深い山で美しい紅葉を踏み分けながら進むと、愛しい相手を呼ぶ鹿の鳴き声が聞こえてくる。秋の訪れを感じさせる、風情のある瞬間だ。,紅葉を踏みしめながらハイキング。鹿の声が響く大自然のサラウンド音響を満喫している。
6,中納言家持,かささぎの 渡せる橋に 置く霜の 白きを見れば 夜ぞ更けにける,鵲が天の川にかけ渡した橋に置いた霜の白いさまを見たら、夜がすっかり更けたことだよ。,新古今集 冬 620,かさ,七夕の夜、かささぎが渡したという伝説の橋にかかった霜の白さを見ていると、夜が静かに更けていくのを感じる。なんと美しい夜だろう。,満天の星空を見上げていたら霜が降りるほど夜が更けていた。時間を忘れるほど美しい冬の天体観測。
7,安倍仲麻呂,天の原 ふりさけ見れば 春日なる 三笠の山に 出でし月かも,大空を振り仰いでみたら、春日の三笠の山に出たのと同じ月だよなあ。,古今集 羇旅 406,あまの,故郷を離れ、はるか遠い異国の空を振り仰いでみれば、あの春日の三笠の山に昇っていたのと同じ、美しい月が輝いている。,広い空を見上げれば世界中どこにいても同じ月が見える。遠く離れていても私たちは繋がっているんだ。
8,喜撰法師,わが庵は 都のたつみ しかぞ住む 世をうぢ山と 人はいふなり,わが庵は都の辰巳、ほら、きちんと住んでいるよ。それを、世を憂いた宇治山だと人は言っているようだ。,古今集 雑下 983,わがい,私の庵は都の東南にあり、ここで穏やかに暮らしているよ。世間の喧騒から離れたこの場所を、人々は理想郷（宇治山）と呼ぶのだろう。,都から少し離れた場所でのスローライフは最高だ。この平穏な暮らしの良さは私だけの秘密だ。
9,小野小町,花の色は 移りにけりな いたづらに わが身世にふる ながめせしまに,花の色は褪せてしまったなあ。何もせず我が身が春の長雨に降り込められ物思いにふけっていた間に。（私の容姿も衰えてしまったなあ。むなしく我が身が恋を重ねて過ごし物思いにふけっていた間に）,古今集 春下 113,はなの,美しい花の色も、時と共に移り変わっていく。物思いにふける間に、私もまた新しい自分へと生まれ変わっていくのだ。,花の色が変わるように私も大人へと成熟した。雨を眺める静かな時間も人生に深みを与えてくれる。
10,蝉丸,これやこの 行くも帰るも 別れては 知るも知らぬも 逢坂の関,これがまあ、行く人も帰る人もここで別れて、知る人も知らぬ人もここで逢うという、逢坂の関であったのか。,後撰集 雑一 1089,これ,これがあの有名な、東国へ向かう人も都へ帰る人も、知っている人も知らない人も、誰もが出会い、そして新たな道へと進んでいく逢坂の関なのだな。,ここが噂のジャンクション！知ってる人も知らない人も行き交うこの場所は新しい出会いと活気に満ちている。
