歌番号,もとの和歌,一般的な現代語訳,ポジティブな解釈をした 現代語訳
1,秋の田の かりほの庵の 苫をあらみ わが衣手は 露にぬれつつ,秋の田の仮小屋は屋根が粗く、私の袖は露で濡れている。,実り豊かな秋の田んぼでキャンプ！自然と一体になって過ごすワイルドな夜を楽しんでいる。
2,春過ぎて 夏来にけらし 白妙の 衣ほすてふ 天の香具山,春が過ぎて夏が来たらしい。白い衣が干されているからだ。,待ちに待った夏が来た！緑の山に真っ白な衣が映えるコントラストは最高に爽やかだ。
3,あしびきの 山鳥の尾の しだり尾の ながながし夜を ひとりかも寝む,長い長い夜を、私は一人で寝るのだろうか。,誰にも邪魔されないとてつもなく長い夜の自由時間。この贅沢な時間を心ゆくまで楽しもう。
4,田子の浦に うち出でて見れば 白妙の 富士の高嶺に 雪は降りつつ,田子の浦に出て見ると、富士山の高嶺に雪が降っている。,海辺に出たら雪化粧した富士山が見えた。あまりの絶景と雄大さに心が洗われるようだ！
5,奥山に 紅葉踏み分け 鳴く鹿の 声聞く時ぞ 秋は悲しき,奥山で鹿の鳴き声を聞くと、秋の寂しさを感じる。,紅葉を踏みしめながらハイキング。鹿の声が響く大自然のサラウンド音響を満喫している。
6,かささぎの 渡せる橋に 置く霜の 白きを見れば 夜ぞ更けにける,天の川に架かる橋に霜が置いているのを見ると、夜が更けたとわかる。,満天の星空を見上げていたら霜が降りるほど夜が更けていた。時間を忘れるほど美しい冬の天体観測。
7,天の原 ふりさけ見れば 春日なる 三笠の山に 出でし月かも,空を仰ぐと、この月は故郷・三笠山で見た月だろうか。,広い空を見上げれば世界中どこにいても同じ月が見える。遠く離れていても私たちは繋がっているんだ。
8,わが庵は 都のたつみ しかぞ住む 世をうぢ山と 人はいふなり,私の庵は都の東南にあり、人は世を憂しと住むと言う。,都から少し離れた場所でのスローライフは最高だ。この平穏な暮らしの良さは私だけの秘密だ。
9,花の色は 移りにけりな いたづらに わが身世にふる ながめせしまに,花の色はむなしく衰え、私も物思いのうちに年を取った。,花の色が変わるように私も大人へと成熟した。雨を眺める静かな時間も人生に深みを与えてくれる。
10,これやこの 行くも帰るも 別れては 知るも知らぬも 逢坂の関,ここがあの関所か。行く人も帰る人も別れ、出会う場所だ。,ここが噂のジャンクション！知ってる人も知らない人も行き交うこの場所は新しい出会いと活気に満ちている。
